날짜,시간,보낸 사람,내용
2025.6.21,9:13,엄마,현지야 마트 갈 거지?
2025.6.21,9:14,현지,응 지금 나가려구ㅎㅎ 뭐 사올까?
2025.6.21,9:15,엄마,두유랑 사과 사오고 없으면 요거트 사와~
2025.6.21,9:16,현지,두유 사과 요거트 ㅇㅋㅇㅋ
2025.6.21,9:30,엄마,아니 셋 다 말고 없으면
2025.6.21,9:35,현지,??? 뭐가 없어야 돼??ㅋㅋ
2025.6.21,9:40,엄마,두유랑 사과가 없으면 요거트를 사오라구
2025.6.21,9:41,현지,그럼 그렇게 말 했어야지... 나 이미 바리바리 다 샀는데
2025.6.21,9:47,엄마,괜찮아 어차피 두유 있으면 또 써~
2025.6.21,9:50,현지,엄마 말은 너무 헷갈려 ㅋㅋ
2025.6.21,9:51,엄마,그게 왜 헷갈리지~? 신기하네 
2025.6.21,9:55,현지,나 같으면 두유나 사과 없으면 요거트만 사와 라고 했을 거야
2025.6.21,9:57,엄마,비슷한 말이지 뭐ㅎㅎ
2025.6.21,9:59,현지,아니 완전 달라ㅋㅋ 나 지금 장바구니 두유 6팩이야
2025.6.21,10:10,엄마,그래도 유통기한 길잖아? 다 먹을 수 있어😊
2025.6.21,10:11,현지,이래서 내가 늘 엄마 말 이해 못 한다는 거야ㅋㅋ
2025.6.21,10:14,엄마,아니 그건 네가 너무 빨리 읽고 판단해서 그래~
2025.6.21,10:17,현지,엄마 문장 길면 나한텐 그게 ‘한 문장’이 아니라 ‘두 개’로 들려ㅋㅋ
2025.6.21,10:20,엄마,그럼 다음부턴 줄여서 말할게^^
2025.6.22,9:00,현지,엄마 나 나간다!!
2025.6.22,9:30,엄마,아이고 일찍 나갔네~ 잘 다녀와
2025.6.22,12:30,현지,엄마 점심 먹었어??
2025.6.22,12:42,엄마,응~ 집에서 아빠랑 먹었지
2025.6.22,12:50,현지,시간 되면 뽀삐 산책 좀 시켜줘 오늘 날씨 좋아!!
2025.6.22,13:30,엄마,그래~ 오늘 날씨 정말 좋네 
2025.6.22,16:00,현지 ,지은이 지금 집에 있나??
2025.6.22,16:30,엄마,아까 나갔다가 들어왔어 ㅎㅎ
2025.6.22,16:51,현지,아 뭐야 나 한테 집 도착하면 알려준댔는데 ㅋㅋ 아까 도착했어??
2025.6.22,17:40,엄마,아니 아까 나갔다가 방금 들어와서 씻고 있어~
2025.6.22,17:50,현지,아 ㅇㅋㅇㅋ 집 도착하면 치킨 시킨대서 물어봤어
2025.6.22,18:10,엄마,아까 오자마자 핸드폰으로 뭐 하긴 하더라 ㅎㅎ
2025.6.22,18:30,현지,오 굿굿!
2025.6.24,16:00,엄마,오늘 늦게 들어와~?
2025.6.24,16:30,현지,아마도! 나 오늘 약속 있어서 
2025.6.24,16:41,엄마,그래~ 저녁 먹고 오나 해서 
2025.6.24,17:10,현지,응응 오늘 현정이 만나기로 해서 
2025.6.24,17:30,엄마,현정이가 누구였지~?
2025.6.24,17:45,현지,왜 그때 동네에서 마주쳐서 엄마한테 인사했던 애 
2025.6.24,17:52,엄마,아 누군지 알 것 같네 ㅎㅎ 재밌게 놀고 와
2025.6.24,17:58,현지,오키 엄마도 저녁 잘 먹고
2025.6.24,18:20,엄마,나도 집에서 아빠랑 먹으려고~
2025.6.24,19:23,엄마,이따 너무 늦게 들어오는 거 아니면 아이스크림 사와~
2025.6.25,19:40,현지,흠 상황 봐서! 지금 아직 저녁 먹는중
2025.6.25,20:13,엄마,그래 그때 상황 봐서 사와^^
2025.6.25,14:12,현지,엄마 지금 집??
2025.6.25,14:15,엄마,응~ 지금 지은이랑 민수가 만든 쿠키 먹는데 넘 맛있네^^
2025.6.25,14:22,현지 ,엥?? 지은이랑 민수가 쿠키를 같이 만들었어? 
2025.6.25,14:26,엄마,아니 지금 지은이랑 같이 쿠키를 먹고 있어~
2025.6.25,14:30,현지 ,아 뭐야 그럼 민수가 만든 쿠키를 지은이랑 먹는다고 해야지! 
2025.6.25,14:34,엄마,그래~ 너도 이따가 먹어봐 맛있네 
2025.6.25,14:50,현지,오키오키 내꺼 좀 남겨줘 그럼
2025.6.25,16:04,엄마,오늘 저녁 밖에서 먹고 오니?
2025.6.25,16:17,현지,아니아니 나 집 가서 먹으려고! 아빠는??
2025.6.25,16:50,엄마,아빠도 집에서 먹는대~
2025.6.25,17:20,현지,오케이 나 30분 후 도착!
2025.6.25,17:32,엄마,그래 오면 바로 밥 먹으면 되겠네 ㅎㅎ
2025.6.25,17:34,현지,뽀삐 밥 줬어?? 걔 요즘 5시면 밥 달라고 난리야
2025.6.25,17:35,엄마,아빠가 줬어~ 요즘 아빠가 너보다 뽀삐를 좋아하는 것 같아 ㅋㅋㅋ
2025.6.25,17:37,현지,에이~ 암튼 밥 챙겼줬다니 다행이네
2025.6.26,12:31,현지,아 엄마 뭐야 아빠가 뽀삐 말고 나 더 좋아한대~~
2025.6.26,12:40,엄마,당연히 널 더 좋아하지~ 그래도 딸인데 ^^
2025.6.26,12:43,현지,아니 저번에 나보다 뽀삐를 더 좋아한다며!!ㅋㅋㅋㅋ
2025.6.26,12:45,엄마,내가??
2025.6.26,12:46,현지,위에 봐봐 그렇게 말했자나 
2025.6.26,13:10,엄마,아니~ 너가 뽀삐 좋아하는 것보다 아빠가 더 좋아하는 것 같다고^^
2025.6.26,13:13,엄마,아무리 뽀삐가 귀여워도 울 딸이 최고지~
2025.6.26,13:20,현지,그치?? 괜히 아빠한테 뭐라 그랬네 ㅋㅋ 장난이긴 했지만 
